STATE,LGA,SEN_DIST,FED_CONST,IS_SPLIT,LGA_CLEAN,LGA_MERGE
Abia,Isiala Ngwa North,Abia Central,Isiala Ngwa North/Isiala Ngwa South,False,Isiala Ngwa North,Isiala Ngwa North
Abia,Isiala Ngwa South,Abia Central,Isiala Ngwa North/Isiala Ngwa South,False,Isiala Ngwa South,Isiala Ngwa South
Abia,Obingwa,Abia Central,Obingwa/Ugwunagbo/Osisioma,False,Obingwa,Obingwa
Abia,Ugwunagbo,Abia Central,Obingwa/Ugwunagbo/Osisioma,False,Ugwunagbo,Ugwunagbo
Abia,Osisioma,Abia Central,Obingwa/Ugwunagbo/Osisioma,False,Osisioma,Osisioma
Abia,Umuahia North,Abia Central,Umuahia North/Umuahia South/Ikwuano,False,Umuahia North,Umuahia North
Abia,Umuahia South,Abia Central,Umuahia North/Umuahia South/Ikwuano,False,Umuahia South,Umuahia South
Abia,Ikwuano,Abia Central,Umuahia North/Umuahia South/Ikwuano,False,Ikwuano,Ikwuano
Abia,Arochukwu,Abia North,Arochukwu/Ohafia,False,Arochukwu,Arochukwu
Abia,Ohafia,Abia North,Arochukwu/Ohafia,False,Ohafia,Ohafia
Abia,Bende,Abia North,Bende,False,Bende,Bende
Abia,Isuikwuato,Abia North,Isuikwuato/Umunneochi,False,Isuikwuato,Isuikwuato
Abia,Umunneochi,Abia North,Isuikwuato/Umunneochi,False,Umunneochi,Umunneochi
Abia,Aba North,Abia South,Aba North/Aba South,False,Aba North,Aba North
Abia,Aba South,Abia South,Aba North/Aba South,False,Aba South,Aba South
Abia,Ukwa East,Abia South,Ukwa East/Ukwa West,False,Ukwa East,Ukwa East
Abia,Ukwa West,Abia South,Ukwa East/Ukwa West,False,Ukwa West,Ukwa West
Adamawa,Fufore,Adamawa Central,Fufore/Song,False,Fufore,Fufore
Adamawa,Song,Adamawa Central,Fufore/Song,False,Song,Song
Adamawa,Hong,Adamawa Central,Hong/Gombi,False,Hong,Hong
Adamawa,Gombi,Adamawa Central,Hong/Gombi,False,Gombi,Gombi
Adamawa,Yola North,Adamawa Central,Yola North/Yola South/Girei,False,Yola North,Yola North
